tag,param,value,flat_width_px,gauss_sigma_px,edge_sigma_px,eff_pct,fid_corr,fid_overlap,flat_rms,sim_F,sim_eta
eta_0p0,setting_eta,0.0,48.4055,15.2404,16.5089,6.8802,0.1537,0.0191,0.0832,1.0000,0.0940
baseline,(baseline),—,1.0000,15.1193,5.6921,6.1286,0.3244,0.0461,0.0000,0.9281,0.1717
eta_0p1,setting_eta,0.1,56.6846,15.5586,11.3010,7.6982,0.1518,0.0180,0.0935,0.9995,0.1000
eta_0p4,setting_eta,0.4,76.5028,12.9026,10.6754,19.7346,0.0985,0.0115,0.2237,0.7401,0.3124
etasteep_7,cgm_eta_steepness,7,1.7403,20.5977,4.8056,4.9557,0.3269,0.0387,0.0338,0.9949,0.1142
etasteep_10,cgm_eta_steepness,10,28.8449,13.0347,2.6103,9.0396,0.0827,0.0140,0.3176,0.8921,0.1955
etasteep_11,cgm_eta_steepness,11,16.5526,13.4928,4.0141,8.7391,0.2094,0.0240,0.0688,0.8855,0.1995
flatw_5,sheet_flat_width,5,37.5613,16.8700,7.1028,12.7710,0.1167,0.0122,0.1254,0.9773,0.1962
flatw_15,sheet_flat_width,15,1.9393,16.8717,6.9176,7.8152,0.2796,0.0574,0.0041,0.8986,0.1349
flatw_25,sheet_flat_width,25,4.2791,17.3072,5.8447,5.2159,0.2934,0.1132,0.0121,0.8935,0.0971
gsig_1,sheet_gaussian_sigma,1,26.7760,17.9617,7.7726,6.6177,0.1038,0.0144,0.2306,0.9980,0.1999
gsig_4,sheet_gaussian_sigma,4,1.6892,35.4378,4.2894,4.0715,0.3029,0.0413,0.0083,0.8779,0.1053
gsig_8,sheet_gaussian_sigma,8,1.8847,71.0167,4.4007,3.1972,0.4685,0.0676,0.0363,0.9048,0.0484
esig_2,sheet_edge_sigma,2,19.0232,16.1696,6.8869,7.9445,0.2203,0.0525,0.2199,0.8914,0.1149
esig_5,sheet_edge_sigma,5,1.0000,19.1782,6.8022,5.9664,0.3668,0.0939,0.0000,0.9016,0.0668
seedonly,cgm_max_iterations,0,34.6088,18.2569,19.0483,35.4680,0.1059,0.0118,0.0255,0.0973,0.9998
seed_fsd_0,fresnel_sd,0,21.0204,24.3893,19.2384,32.6446,0.0906,0.0116,0.0287,0.0973,0.9998
seed_fsd_500,fresnel_sd,500,30.0527,21.1578,17.1514,35.7728,0.0985,0.0115,0.0335,0.0973,0.9998
seed_fsd_2000,fresnel_sd,2000,47.1638,14.1739,22.2932,29.6761,0.0615,0.0080,0.0399,0.0973,0.9998
seed_fsd_5000,fresnel_sd,5000,67.9575,21.1152,29.5915,47.2685,0.0625,0.0061,0.0292,0.0973,0.9998
seed_fsd_10000,fresnel_sd,10000,73.9558,49.6774,53.5388,58.3774,0.0422,0.0022,0.0935,0.0973,0.9998
